"iati_id","name","country","source_type","org_type","ref_score"
"41108","IFAD Activities 2014","998","primary_source","40",0.333333333333
"41119","UNFPA Organization Dataset","998","primary_source","40",0
"41122","UNICEF - All Operating Units","998","primary_source","40",0.166666666667
"41AAA","UNOPS","998","primary_source","40",0.333333333333
"44000","The World Bank","998","primary_source","40",0.669516120348685
"XI-IATI-EBRD","EBRD","998","primary_source","40",0.5
"XM-DAC-30010","","998","primary_source","40",1.05809692671489
"XM-DAC-41114","UNDP","998","primary_source","40",0.226236364687765
"XM-DAC-41140","World Food Programme organization","998","primary_source","40",0.200547318010633
